quote	name	sector
CEFL	City Express Finance Company Limited	finance
CFCL	Central Finance Company Limited	finance
CFL	Crystal Finance Limited	finance
CHCL	Chilime Hydropower Company Limited	hydropower
CHL	Chhyangdi Hydropower Limited	hydropower
CHLBS	Chautari Laghubitta Bittya Sanstha Limited	micro finance
CIT	Citizen Investment Trust	finance
CIVIC	Civic Development Bank Limited	development bank
CLBSL	Civil Laghubitta Bittiya Sanstha Limited	micro finance
CMB	Capital Merchant Bank & Finance Company Limited	finance
CMBF	CMB Finance Limited	finance
CMBSL	Civil Merchant Bittiya Santha Limited	finance
CMF1	Citizens Mutual Fund-1	mutual fund
CNDBL	Country Development Bank Limited	development bank
CORBL	Corporate Development Bank Limited	development bank
CSDBL	Cosmos Development Bank Limited	development bank
CTBNL	Commerz and Trust Bank Nepal Limited	commercial bank
CVMF	Clean Village Microfinance Bittiya Sanstha Limited	development bank
CZBIL	Citizens Bank International Limited	commercial bank
DBBL	Deva Bikas Bank Limited	development bank
DCBL	Development Credit Bank Limited	development bank
DDBL	Deprosc Laghubitta Bittiya Sanstha Limited	micro finance
DHPL	Dibyashwari Hydropower Company Limited	hydropower
DKHCL	Dordi Khola Hydropower Company Limited	hydropower
EBL	Everest Bank Limited	commercial bank
EBLCP	Everest Bank Limited Convertible Preference Share	preference share
EDBL	Excel Development Bank Limited	development bank
EFL	Everest Finance Limited	finance
EIC	Everest Insurance Company Limited	non life insurance
EKBL	Ekata Bikas Bank Limited	development bank
ESC	National Productivity and Economic Development Centre Limited	others
FBBL	Fewa Bikas Bank Limited	development bank
FFCL	Fewa Finance Company Limited	finance
FHL	Fleur Himalayan Limited	manufacturing and processing
FMDBL	First Microfinance Laghubitta Bittiya Sanstha Limited	micro finance
FOWAD	Forward Community Microfinance Bittiya Sanstha Limited	micro finance
GABL	Gaumukhee Bikas Bank Limited	development bank
GBBL	Garima Bikas Bank Limited	development bank
GBIME	Global IME Bank Limited	commercial bank
GBL	Global Bank Limited	commercial bank
GBLBS	Grameen Bikas Laghubitta Bittiya Sanstha Limited	micro finance
GDBL	Gandaki Development Bank Limited	development bank
GDBNL	Gurkha Development Bank Limited	development bank
GDFI	Gandaki Development Financial Institution Limited	development bank
GFCL	Goodwill Finance Company Limited	finance
GFL	General Finance Limited	finance
GFLK	Gorkha Finance Company Limited	finance
GHL	Ghalemdi Hydro Limited	hydropower
GILB	Global IME Laghubitta Bittiya Sanstha Limited	micro finance
GIMES1	Global IME Samunnat Scheme-1	mutual fund
GLBSL	Gurans Laghubitta Bittiya Sanstha Limited	micro finance
GLICL	Guras Life Insurance Company Limited	life insurance
GMFBS	Ganapati Microfinance Bittiya Sanstha Limited	micro finance
GMFIL	Guheswori Merchant Bank & Finance Company Limited	finance
GRAND	Grand Bank Nepal Limited	commercial bank
GRDBL	Green Development Bank Limited	development bank
GRU	Gorakhkali Rubber Udhyog Limited	manufacturing and processing
GSDBL	Gaurishankar Development Bank Limited	development bank
GUFL	Gurkhas Finance Limited	finance
GUHPL	Garjang Upatyaka Hydro Power Limited	hydropower
GULMI	Gulmi Bikas Bank Limited	development bank
HAMA	Hama Merchant & Finance Limited	finance
HAMRO	Hamro Bikas Bank Limited	development bank
HATH	Hathway Finance Company Limited	finance
HBBL	Himchuli Bikash Bank Limited	development bank
HBDL	H&B Development Bank Limited	development bank
HBL	Himalayan Bank Limited	commercial bank
HBT	Harisiddhi Brick and Tile Factory Limited	manufacturing and processing
HCFL	Himal Cement Factory Limited	manufacturing and processing
HDL	Himalayan Distillery Limited	manufacturing and processing
HFL	Himalayan Finance Limited (Bittiya Sanstha)	finance
HGI	Himalayan General Insurance Company Limited	non life insurance
HIDCL	Hydroelectricity Investment and Development Company Limited	others
HISEF	HISEF Finance Company Limited	finance
HPPL	Himalayan Power Partner Limited	hydropower
HTC	Himanshu Trading Company Limited	trading
HTL	Himgiri Textile Industries Limited	manufacturing and processing
HUBCL	Himalaya Urja Bikas Company Limited	hydropower
HURJA	Himalayan Urja Bikas Company Limited	hydropower
ICFC	ICFC Bittiya Santha Limited	finance
IDBL	Infrastructure Development Bank Limited	development bank
IFIL	Imperial Financial Institution Limited	finance
IGI	IME General Insurance Limited	non life insurance
ILFC	International Leasing & Finance Company Limited	finance
ILFCM	ILFCO Microfinance Bittiya Sanstha Limited	development bank
IMEFI	IME Financial Institution Limited	finance
INDB	Innovative Development Bank Limited	development bank
INDBL	International Development Bank Limited	development bank
JBBL	Jyoti Bikas Bank Limited	development bank
JBNL	Janata Bank Nepal Limited	commercial bank
JEFL	Jebil's Finance Limited	finance
JFL	Janaki Finance Company Limited	finance
JHBL	Jhimruk Bikas Bank Limited	development bank
JMF	Juddha Match Factory (Biratnagar) Limited	manufacturing and processing
JOSHI	Joshi Hydropower Development Company Limited	hydropower
JSLBB	Janautthan Samudayic Laghubitta Bikas Bank Limited	micro finance
JSM	Jyoti Spinning Mills Limited	manufacturing and processing
KADBL	Kanchan Development Bank Limited	development bank
KAFIL	Kaski Finance Limited	finance
KBBL	Kailash Bikas Bank Limited	development bank
KBL	Kumari Bank Limited	commercial bank
KCDBL	Kalinchwok Development Bank Limited	development bank
KCIL	Kriti Capital & Investments Limited	others
KDBL	Kasthamandap Development Bank Limited	development bank
KEBL	Kabeli Bikas Bank Limited	development bank
KFL	Kathmandu Finance Limited	finance
KHDBL	Khandbari Development Bank Limited	development bank
KHL	Khudi Hydropower Limited	hydropower
KIST	KIST Bank Limited	commercial bank
KKBL	Kakre Bihar Bikash Bank Limited	development bank
KKHC	Khani Khola Hydropower Company Limited	hydropower
KMBF	Kist Merchant Banking & Finance Limited	finance
KMBL	Kamana Bikas Bank Limited	development bank
KMBSL	Kuber Merchant Finance Limited	finance
KMCDB	Kalika Laghubitta Bittiya Sanstha Limited	micro finance
KMFL	Kisan Microfinance Bittiya Sanstha Limited	micro finance
KNBL	Kankai Bikas Bank Limited	development bank
KPCL	Kalika Power Company Limited	hydropower
KRBL	Karnali Development Bank Limited	development bank
KSBBL	Kamana Sewa Bikas Bank Limited	development bank
LBBL	Lumbini Bikas Bank Limited	development bank
LBFIL	Lord Buddha Finance Limited	finance
LBL	Laxmi Bank Limited	commercial bank
LEMF	Laxmi Equity Fund	mutual fund
LFC	Lalitpur Finance Company Limited	finance
LFLC	Lumbini Finance & Leasing Company Limited	finance
LGIL	Lumbini General Insurance Company Limited	non life insurance
LICN	Life Insurance Corporation (Nepal) Limited	life insurance
LLBS	Laxmi Laghubitta Bittiya Sanstha Limited	micro finance
LOTUS	Lotus Investment Finance Limited	finance
LUBL	Lumbini Bank Limited	commercial bank
LVF1	Laxmi Value Fund-1	mutual fund
MBBL	Mahakali Bikas Bank Limited	development bank
MBL	Machhapuchhre Bank Limited	commercial bank
MDB	Miteri Development Bank Limited	development bank
MDBL	Malika Bikas Bank Limited	development bank
MEGA	Mega Bank Nepal Limited	commercial bank
MERO	Mero Microfinance Bittiya Sanstha Limited	micro finance
METRO	Metro Development Bank Limited	development bank
MFCL	Merchant Finance Company Limited	finance
MFIL	Manjushree Finance Limited	finance
MFL	Mahalaxmi Finance Limited	finance
MGBL	Madhyamanchal Grameen Development Bank Limited	development bank
MHNL	Mountain Hydro Nepal Limited	hydropower
MHPL	Mandakini Hydro Power Limited	hydropower
MIDBL	Mission Development Bank Limited	development bank
MKDBL	Manakamana Development Bank Limited	development bank
MKHCL	Mairung Khola Hydropower Company Limited	hydropower
MLBBL	Mithila LaghuBitta Bittiya Sanstha Limited	micro finance
MLBL	Mahalaxmi Bikas Bank Limited	development bank
MMDBL	Mount Makalu Development Bank Limited	development bank
MMFDB	Mirmire LaghuBitta Bittiya Sanstha Limited	micro finance
MNBBL	Muktinath Bikas Bank Limited	development bank
MPFL	Multipurpose Finance Company Limited	finance
MPGBL	Madhyapaschim Grameen Development Bank Limited	development bank
MSBBL	Manaslu Bikas Bank Limited	development bank
MSLB	Mahuli Samudayik Laghubitta Bittiya Sanstha Limited	micro finance
MSM	Morang Sugar Mills Limited	manufacturing and processing
MSMBS	Mahila Sahayatra Microfinance Bittiya Sanstha Limited	micro finance
MTBL	Matribhumi Bikash Bank Limited	development bank
NABB	Nepal Aawas Bikas Beeta Company Limited	finance
NABBC	Narayani Audhyogik Bikash Bank Limited	development bank
NABIL	Nabil Bank Limited	commercial bank
NADEP	Nadep Laghubitta Bittiya Sanstha Limited	micro finance
NAL	Necon Air Limited	others
NBB	Nepal Bangladesh Bank Limited	commercial bank
NBBC	Nepal Byapar Bikash Company Limited	trading
NBBL	Nagbeli LaghuBitta Bikas Bank Limited	micro finance
NBBU	Nepal Bitumin and Barrel Udhyog Limited	manufacturing and processing
NBC	Nepal Battery Company Limited	manufacturing and processing
NBCK	Nepal Byapar Bikash Company (Koshi) Limited	trading
NBF1	Nabil Balance Fund-1	mutual fund
NBFL	Nepal Bangladesh Finance & Leasing Company Limited	finance
NBIL	NB Insurance Company Limited	non life insurance
NBL	Nepal Bank Limited	commercial bank
NBSL	Namaste Bittiya Sanstha Limited	finance
NCCB	Nepal Credit & Commercial Bank Limited	commercial bank
NCDB	Nepal Community Development Bank Limited	development bank
NCDBL	Nepal Consumer Development Bank Limited	development bank
NCM	NIDC Capital Markets Limited	finance
NCMMF	NCM Mutual Fund	mutual fund
NDB	Nepal Development Bank Limited	development bank
NDEP	NDEP Development Bank Limited	development bank
NDFL	Nava Durga Finance Company Limited	finance
NEF	Nabil Equity Fund	mutual fund
NEFL	Nepal Express Finance Limited	finance
NFC	National Finance Company Limited	finance
NFD	Nepal Film Development Company Limited	others
NFL	Narayani Finance Limited	finance
NFS	Nepal Finance Limited	finance
NGBBL	Nepal Grameen Bikas Bank Limited	micro finance
NGBL	Nilgiri Bikas Bank Limited	development bank
NGPL	Ngadi Group Power Limited	hydropower
NHDCL	Nepal Housing Development Finance Company Limited	finance
NHDL	Nepal Hydro Developers Limited	hydropower
NHL	Nyadi Hydropower Company Limited	hydropower
NHMF	Nepal Housing & Merchant Finance Company Limited	finance
NHPC	National Hydro Power Company Limited	hydropower
NIB	Nepal Investment Bank Limited	commercial bank
NIBL	Nepal Indosuez Bank Limited	commercial bank
NIBLPF	NIBL Pragati Fund	mutual fund
NIBSF1	NIBL Samriddhi Fund-1	mutual fund
NICA	NIC Asia Bank Limited	commercial bank
NICB	Nepal Industrial & Commercial Bank Limited	commercial bank
NICGF	NIC Asia Growth Fund	mutual fund
NICL	Nepal Insurance Company Limited	non life insurance
NIDC	NIDC Development Bank Limited	development bank
NIDCL	Nepal Industrial Development Corporation Limited	Finance
NIL	Neco Insurance Company Limited	non life insurance
NKU	Nepal Khaddya Udhyog Limited	manufacturing and processing
NLBBL	Nerude Laghubita Bikas Bank Limited	micro finance
NLG	NLG Insurance Company Limited	non life insurance
NLIC	Nepal Life Insurance Company Limited	life insurance
NLICL	National Life Insurance Company Limited	life insurance
NLL	Nepal Lever Limited	manufacturing and processing
NLO	Nepal Lube Oil Limited	manufacturing and processing
NMB	NMB Bank Limited	commercial bank
NMBF	NMB Bank Limited	commercial bank
NMBHF1	NMB Hybrid Fund L-1	mutual fund
NMBMF	NMB Microfinance Bittiya Sanstha Limited	micro finance
NMBSF1	NMB Sulav Investment Fund-1	mutual fund
NMFBS	National Microfinance Bittiya Sanstha Limited	micro finance
NML	Nepal Med Limited	manufacturing and processing
NNFC	Narayani National Finance Company Limited	finance
NNLB	Naya Nepal Laghubitta Bikas Bank Limited	micro finance
NPB	Nepal Plywood & Bobbin Company Limited	manufacturing and processing
NSEWA	Nepal Seva Laghubitta Bittiya Sanstha Limited	micro finance
NSLMB	Nepal Shree Lanka Merchant Bank & Finance Limited	finance
NSM	Nepal Share Markets Company Limited	finance
NTC	Nepal Doorsanchar Company Limited	others
NUBL	Nirdhan Utthan Laghubitta Bittiya Sanstha Limited	micro finance
NUC	Nepal United Company Limited	trading
NVG	Nepal Vanaspati Ghee Udhyog Limited	manufacturing and processing
NWC	Nepal Welfare Company Limited	trading
ODBL	Om Development Bank Limited	development bank
OFL	Om Finance Limited	finance
OHL	Oriental Hotels Limited	hotel
PADBL	Pacific Development Bank Limited	development bank
PBSL	Pathibhara Bikas Bank Limited	development bank
PCBL	Prime Commercial Bank Limited	commercial bank
PDB	Public Development Bank Limited	development bank
PDBL	Paschimanchal Development Bank Limited	development bank
PFC	Paschimanchal Finance Company Limited	finance
PFCL	Peoples Finance Limited	finance
PFCLL	Premier Finance Company Limited	finance
PFIL	Prudential Finance Company Limited	finance
PFL	Pokhara Finance Company Limited	finance
PFLBS	Patan Finance Limited	finance
PGBBL	Paschimanchal Grameen Bikas Bank Limited	development bank
PGBL	Purwanchal Grameen Bikash Bank Limited	development bank
PIC	Premier Insurance Company (Nepal) Limited	insurance
PICL	Prudential Insurance Company Limited	non life insurance
PLIC	Prime Life Insurance Company Limited	life insurance
PMHPL	Panchakanya Mai Hydropower Limited	hydropower
PPCL	Pachthar Power Company Limited	hydropower
PRBBL	Prabhu Bikash Bank Limited	development bank
PRBL	Professional Bikas Bank Limited	development bank
PRDBL	Professional Diyalo Bikas Bank Limited	development bank
PRFL	Prabhu Finance Company Limited	finance
PRIN	Prabhu Insurance Company Limited	non life insurance
PROFL	Progressive Finance Limited	finance
PRVU	Prabhu Bank Limited	commercial bank
PSDBL	Pashupati Development Bank Limited	development bank
PTC	Plastic Trading Company Limited	trading
PURBL	Purnima Bikas Bank Limited	development bank
RADHI	Radhi Bidhut Company Limited	hydropower
RARA	Rara Bikas Bank Limited	development bank
RBBBL	Raptibheri Bikas Bank Limited	development bank
RBCL	Rastriya Beema Company Limited	non life insurance
RBS	Rastriya Beema Sansthan	life insurance
RBSL	Resunga Bikas Bank Limited	development bank
RDBL	Rising Development Bank Limited	development bank
REDBL	Reliable Development Bank Limited	development bank
RFL	Reliance Finance Limited	finance
RHCL	Rasuwagadhi Hydropower Company Limited	hydropower
RHL	Remit Hydro Limited	hydropower
RHPC	Ridi Hydropower Development Company Limited	hydropower
RIBSL	Reliable Finance Limited	finance
RJM	Shree Raghupati Jute Mills Limited	manufacturing and processing
RLFL	Reliance Finance Limited	finance
RMBFI	Royal Merchant Bank & Finance Company Limited	finance
RMDC	RMDC Laghubitta Bittiya Sanstha Limited	micro finance
RMFL	Reliable Microfinance Bittiya Sanstha Limited	micro finance
RRHP	Rairang Hydropower Development Company Limited	hydropower
RSDC	RSDC Laghubitta Bittiya Sanstha Limited	micro finance
SADBL	Shangrila Development Bank Limited	development bank
SAEF	Sanima Equity Fund	mutual fund
SAFL	Sagarmatha Finance Limited	finance
SAJHA	Sajha Bikas Bank Limited	development bank
SALAPA	Salapa Bikas Bank Limited	development bank
SAND2085	Sanima Debenture 2085	debenture
SANIMA	Sanima Bank Limited	commercial bank
SBBL	Sanima Bikas Bank Limited	development bank
SBBLJ	Sahayogi Bikas Bank Limited	development bank
SBI	Nepal SBI Bank Limited	commercial bank
SBL	Siddhartha Bank Limited	commercial bank
SBPP	Shree Bhrikuti Pulp and Paper Limited	manufacturing and processing
SBSL	Shikhar Bittiya Sanstha Limited	finance
SCB	Standard Chartered Bank Nepal Limited	commercial bank
SCL	Sayapatri Colour Lab	manufacturing and processing
SDB	Social Development Bank Limited	development bank
SDBL	Siddhartha Development Bank Limited	development bank
SDESI	Swadeshi Laghubitta Bittiya Sanstha Limited	micro finance
SDFL	Suryadarshan Finance Company Limited	finance
SEF	Siddhartha Equity Fund	mutual fund
SEOS	Siddhartha Equity Oriented Scheme	mutual fund
SETI	Seti Finance Limited	finance
SEWA	Sewa Bikas Bank Limited	development bank
SFC	Samjhana Finance Company Limited	finance
SFFIL	Srijana Finance Limited	finance
SFL	Siddhartha Finance Limited	finance
SHBL	Sahara Bikas Bank Limited	development bank
SHCL	Sangay Hydropower Company Limited	hydropower
SHDBL	Shine Development Bank Limited	development bank
SHINE	Shine Resunga Development Bank Limited	development bank
SHIVM	Shivam Cements Limited	manufacturing and processing
SHL	Soaltee Hotel Limited	hotel
SHPC	Sanima Mai Hydropower Limited	hydropower
SIC	Sagarmatha Insurance Company Limited	non life insurance
SICL	Shikhar Insurance Company Limited	non life insurance
SIFC	Shree Investment & Finance Company Limited	finance
SIGS1	Siddhartha Investment Growth Scheme-1	mutual fund
SIL	Siddhartha Insurance Limited	non life insurance
SINDU	Sindhu Bikash Bank Limited	development bank
SJCL	Sanjen Jalavidhyut Company Limited	hydropower
SKBBL	Sana Kisan Bikas Bank Limited	micro finance
SKDBL	Saptakoshi Development Bank Limited	development bank
SAPDBL	Saptakoshi Development Bank Limited	development bank
SLBBL	Swarojgar Laghu Bitta Bikas Bank Limited	micro finance
SLBS	Suryodaya Laghubitta Bittiya Sanstha Limited	micro finance
SLBSL	Samudayik Laghubitta Bittiya Sanstha Limited	micro finance
SLFL	Subha Laxmi Finance Company Limited	finance
SLICL	Surya Life Insurance Company Limited	life insurance
SMATA	Samata Microfinance Bittiya Sanstha Limited	micro finance
SMB	Support Microfinance Bittiya Sanstha Limited	micro finance
SMBF	Sagarmatha Merchant Commercial Bank & Finance Limited	finance
SMF	Swastik Merchant Finance Company Limited	finance
SMFDB	Summit Laghubitta Bittiya Sanstha Limited	micro finance
SODBL	Society Development Bank Limited	development bank
SOORYA	Soorya Development Bank Limited	development bank
SPARS	Sparsha Laghubitta Bittiya Sanstha	micro finance
SPCL	Shuvam Power Company Limited	hydropower
SPDL	Synergy Power Development Limited	hydropower
SPGBL	Sudurpaschim Grameen Development Bank Limited	development bank
SRBL	Sunrise Bank Limited	commercial bank
SRS	Shree Ram Sugar Mills Limited	manufacturing and processing
STC	Salt Trading Corporation	trading
STFL	Standard Finance Limited	finance
SUBBL	Subhechha Bikas Bank Limited	development bank
SUHCL	Sunkoshi Hydropower Company Limited	hydropower
SUPRME	Supreme Development Bank Limited	development bank
SWBBL	Swabalamban Laghubitta Bittiya Sanstha Limited	micro finance
SYFL	Synergy Finance Limited	finance
TBBL	Triveni Bikas Bank Limited	development bank
TDBL	Tourism Development Bank Limited	development bank
TMDBL	Tinau Mission Development Bank Limited	development bank
TNBL	Tinau Development Bank Limited	development bank
TOICL	The Oriental Insurance Company Limited	insurance
TRH	Taragaon Regency Hotels Limited	hotel
TRHPR	Taragaon Regency Hotels Limited Preference Share	preference share
UBBL	Udhyam Bikas Bank Limited	development bank
UFCL	Union Finance Company Limited	finance
UFCM	Universal Finance & Capital Market Limited	finance
UFIL	Unique Finance Limited	finance
UFL	United Finance Limited	finance
UFLK	Universal Finance Limited	finance
UIC	United Insurance Company (Nepal) Limited	non life insurance
UMB	Unnati Microfinance Bittiya Sanstha Limited	micro finance
UMHL	United Modi Hydropower Limited	hydropower
UNL	Unilever Nepal Limited	manufacturing and processing
UPCL	Universal Power Company Limited	hydropower
UPPER	Upper Tamakoshi Hydropower Limited	hydropower
VBBL	Vibor Bikas Bank Limited	development bank
VFL	Valley Finance Limited	finance
VLBS	Vijaya Laghubitta Bittiya Sanstha Limited	micro finance
VSDBL	Vibor Society Development Bank Limited	development bank
WDBL	Western Development Bank Limited	development bank
WMBF	World Merchant Banking & Finance Limited	finance
WOMI	Womi Microfinance Bittiya Sanstha Limited	micro finance
YETI	Yeti Development Bank Limited	development bank
YFL	Yeti Finance Company Limited	finance
YHL	Yak and Yeti Hotel Limited	hotel
ZFL	Zenith Finance Limited	finance
SFCL	Samriddhi Finance Company Limited	finance
