ts	cid	nid	symbol	buyer	seller	volume	rate	amount
2024-11-25T10:46:00.201495	2024112501000026	9158	MHCL	11	26	10	424.5	4245
2024-11-25T10:46:00.208178	2024112501000027	9171	BEDC	34	32	21	540	11340
2024-11-25T10:46:00.215154	2024112501000028	9181	RAWA	33	57	10	771.4	7714
2024-11-25T10:46:00.21976	2024112501000029	9192	USHL	54	58	50	794	39700
2024-11-25T10:46:00.221643	2024112501000030	9194	TSHL	36	56	20	1048.6	20972
2024-11-25T10:46:00.221667	2024112501000031	9194	TSHL	70	56	11	1048.6	11534.6
2024-11-25T10:46:00.224092	2024112501000032	9196	KBSH	65	51	10	2572.4	25724
2024-11-25T10:46:00.224123	2024112501000033	9196	KBSH	65	53	10	2572.4	25724
2024-11-25T10:46:00.320677	2024112501000034	132	NIMB	56	1	10	231.5	2315
2024-11-25T11:00:05.805298	2024112501000035	9181	RAWA	33	57	10	771.5	7715
2024-11-25T11:00:06.635407	2024112501000036	9194	TSHL	70	64	10	1028	10280
2024-11-25T11:00:10.835648	2024112501000037	9181	RAWA	33	57	10	771.5	7715
2024-11-25T11:00:15.652843	2024112501000038	9194	TSHL	70	64	10	1008	10080
2024-11-25T11:00:21.887407	2024112501000039	9181	RAWA	33	57	10	771.5	7715
2024-11-25T11:00:30.45531	2024112501000040	9203	MEHL	25	63	10	420	4200
2024-11-25T11:00:30.455398	2024112501000041	9203	MEHL	58	63	10	411.6	4116
2024-11-25T11:00:31.254407	2024112501000042	8032	BNHC	32	34	10	518	5180
2024-11-25T11:00:33.725655	2024112501000043	9181	RAWA	14	57	100	771.7	77170
2024-11-25T11:00:34.539028	2024112501000044	9181	RAWA	33	57	10	771.5	7715
2024-11-25T11:00:34.53906	2024112501000045	9181	RAWA	88	57	10	771.4	7714
2024-11-25T11:00:34.53908	2024112501000046	9181	RAWA	66	57	10	757	7570
2024-11-25T11:00:34.539099	2024112501000047	9181	RAWA	18	57	10	756.1	7561
2024-11-25T11:00:36.179547	2024112501000048	9194	TSHL	28	32	100	990	99000
2024-11-25T11:00:36.674777	2024112501000049	8065	CYCL	49	60	10	1705.2	17052
2024-11-25T11:00:38.329801	2024112501000050	9148	SMH	34	40	10	1140	11400
2024-11-25T11:00:39.901589	2024112501000051	9217	MMKJL	21	77	10	643	6430
2024-11-25T11:00:39.901677	2024112501000052	9217	MMKJL	21	77	90	643	57870
2024-11-25T11:00:40.498842	2024112501000053	145	SBL	34	50	11	324	3564
2024-11-25T11:00:52.639356	2024112501000054	8099	UHEWA	49	45	190	667	126730
2024-11-25T11:00:52.639444	2024112501000055	8099	UHEWA	49	45	150	668	100200
2024-11-25T11:00:52.639503	2024112501000056	8099	UHEWA	49	57	200	668	133600
2024-11-25T11:00:52.639553	2024112501000057	8099	UHEWA	49	1	200	680.9	136180
2024-11-25T11:00:52.639616	2024112501000058	8099	UHEWA	49	58	2000	680.9	1361800
2024-11-25T11:00:53.854271	2024112501000059	9167	MKHL	44	70	210	590	123900
2024-11-25T11:00:53.854375	2024112501000060	9167	MKHL	44	33	30	590	17700
2024-11-25T11:00:58.264194	2024112501000061	139	NICA	49	13	225	430	96750
2024-11-25T11:01:00.101615	2024112501000062	9217	MMKJL	59	77	860	643	552980
2024-11-25T11:01:02.594862	2024112501000063	9148	SMH	34	40	10	1162	11620
2024-11-25T11:01:03.069125	2024112501000064	8066	RFPL	45	4	10	810	8100
2024-11-25T11:01:11.010438	2024112501000065	341	GBIME	42	19	307	237	72759
2024-11-25T11:01:15.607265	2024112501000066	9167	MKHL	33	48	50	589	29450
2024-11-25T11:01:16.800375	2024112501000067	131	NABIL	7	34	35	558	19530
2024-11-25T11:01:17.159168	2024112501000068	4951	JBLB	45	57	10	1684	16840
2024-11-25T11:01:22.905234	2024112501000069	255	PRVU	58	77	175	235.9	41282.5
2024-11-25T11:01:24.057936	2024112501000070	8066	RFPL	62	69	10	813.7	8137
2024-11-25T11:01:24.058014	2024112501000071	8066	RFPL	62	71	10	816	8160
2024-11-25T11:01:24.058088	2024112501000072	8066	RFPL	62	62	500	816	408000
2024-11-25T11:01:24.058148	2024112501000073	8066	RFPL	62	13	800	816	652800
2024-11-25T11:01:24.058199	2024112501000074	8066	RFPL	62	71	490	826	404740
2024-11-25T11:01:24.058248	2024112501000075	8066	RFPL	62	62	500	826	413000
2024-11-25T11:01:24.058301	2024112501000076	8066	RFPL	62	45	300	826	247800
2024-11-25T11:01:24.922668	2024112501000077	8066	RFPL	62	58	10	800	8000
2024-11-25T11:01:26.355954	2024112501000078	8111	HIDCLP	28	55	10	176	1760
2024-11-25T11:01:26.946111	2024112501000079	9148	SMH	34	40	10	1185	11850
2024-11-25T11:01:27.810545	2024112501000080	8066	RFPL	62	35	10	800	8000
2024-11-25T11:01:35.023895	2024112501000081	141	LSL	13	44	1000	248	248000
2024-11-25T11:01:45.229437	2024112501000082	9194	TSHL	80	60	10	1008	10080
2024-11-25T11:01:45.229672	2024112501000083	9194	TSHL	80	48	40	1009	40360
2024-11-25T11:01:47.182198	2024112501000084	9167	MKHL	35	71	100	590	59000
2024-11-25T11:01:47.313844	2024112501000085	8117	AVYAN	5	75	10	1100	11000
2024-11-25T11:01:47.792558	2024112501000086	9167	MKHL	35	32	50	590	29500
2024-11-25T11:01:53.083918	2024112501000087	8111	HIDCLP	44	55	500	176	88000
2024-11-25T11:01:54.534311	2024112501000088	4951	JBLB	45	57	10	1684	16840
2024-11-25T11:01:55.179623	2024112501000089	131	NABIL	57	1	10	555	5550
2024-11-25T11:01:55.185669	2024112501000090	9176	IHL	40	40	10	612.4	6124
2024-11-25T11:01:58.096571	2024112501000091	9167	MKHL	44	53	50	591.7	29585
2024-11-25T11:01:59.058386	2024112501000092	8018	MLBS	8	8	10	2140.1	21401
2024-11-25T11:02:04.540105	2024112501000093	9176	IHL	40	52	10	624.6	6246
2024-11-25T11:02:06.712742	2024112501000094	9217	MMKJL	59	81	100	643	64300
2024-11-25T11:02:06.712791	2024112501000095	9217	MMKJL	82	81	100	635	63500
2024-11-25T11:02:07.513607	2024112501000096	341	GBIME	58	55	280	240	67200
2024-11-25T11:02:09.674012	2024112501000097	8111	HIDCLP	35	59	10	175	1750
2024-11-25T11:02:15.676474	2024112501000098	4951	JBLB	32	45	10	1660	16600
2024-11-25T11:02:27.789514	2024112501000099	131	NABIL	21	45	120	550	66000
2024-11-25T11:02:27.95574	2024112501000100	135	SBI	25	93	30	459.1	13773
2024-11-25T11:02:28.234893	2024112501000101	139	NICA	35	17	10	422.1	4221
2024-11-25T11:02:29.288558	2024112501000102	9167	MKHL	62	58	100	600	60000
2024-11-25T11:02:29.353444	2024112501000103	9167	MKHL	71	37	200	590.1	118020
2024-11-25T11:02:33.194196	2024112501000104	9196	KBSH	39	8	10	2521	25210
2024-11-25T11:02:39.402872	2024112501000105	131	NABIL	21	1	20	550	11000
2024-11-25T11:02:45.454314	2024112501000106	8066	RFPL	62	69	10	800.2	8002
2024-11-25T11:02:45.455255	2024112501000107	9158	MHCL	35	58	10	432.9	4329
2024-11-25T11:02:46.47247	2024112501000108	341	GBIME	35	55	100	240	24000
2024-11-25T11:02:47.275906	2024112501000109	9140	UNLB	48	38	10	2704	27040
2024-11-25T11:02:47.31798	2024112501000110	517	NBL	17	19	62	279	17298
2024-11-25T11:02:47.318074	2024112501000111	517	NBL	17	34	353	279	98487
2024-11-25T11:02:47.92899	2024112501000112	8022	TPC	41	34	10	536.5	5365
2024-11-25T11:02:50.411044	2024112501000113	219	UNL	49	49	36	47938.6	1725789.6
2024-11-25T11:03:03.40744	2024112501000114	341	GBIME	17	55	120	240	28800
2024-11-25T11:03:03.407572	2024112501000115	341	GBIME	17	17	100	240	24000
2024-11-25T11:03:03.407647	2024112501000116	341	GBIME	17	41	280	240	67200
2024-11-25T11:03:03.502377	2024112501000117	131	NABIL	21	1	10	550	5500
2024-11-25T11:03:03.513405	2024112501000118	9176	IHL	82	40	10	590	5900
2024-11-25T11:03:14.565532	2024112501000119	9175	MCHL	56	58	10	604	6040
2024-11-25T11:03:15.977442	2024112501000120	9192	USHL	13	42	10	801.5	8015
2024-11-25T11:03:16.551142	2024112501000121	139	NICA	88	55	392	422.2	165502.4
2024-11-25T11:03:21.775896	2024112501000122	131	NABIL	77	52	30	554.9	16647
2024-11-25T11:03:22.123168	2024112501000123	4951	JBLB	26	33	13	1665	21645
2024-11-25T11:03:23.787933	2024112501000124	9149	MKHC	77	51	1216	417.9	508166.4
2024-11-25T11:03:25.052107	2024112501000125	348	CZBIL	42	19	50	226	11300
2024-11-25T11:03:25.414014	2024112501000126	134	HBL	45	39	10	251.9	2519
2024-11-25T11:03:26.634963	2024112501000127	8026	NYADI	43	52	40	336	13440
2024-11-25T11:03:26.635055	2024112501000128	8026	NYADI	43	74	10	336.6	3366
2024-11-25T11:03:34.53583	2024112501000129	8132	SHLB	44	46	10	2595	25950
2024-11-25T11:03:34.535991	2024112501000130	8132	SHLB	44	6	10	2595.9	25959
2024-11-25T11:03:37.725617	2024112501000131	142	KBL	38	58	126	220	27720
2024-11-25T11:03:41.043349	2024112501000132	9149	MKHC	25	36	100	418.9	41890
2024-11-25T11:03:49.435424	2024112501000133	8108	RHGCL	38	45	300	450	135000
2024-11-25T11:03:50.418216	2024112501000134	255	PRVU	101	90	125	235.8	29475
2024-11-25T11:03:51.603475	2024112501000135	9171	BEDC	70	43	10	550	5500
2024-11-25T11:03:52.615449	2024112501000136	8065	CYCL	62	38	91	1750	159250
2024-11-25T11:03:52.74387	2024112501000137	9232	CKHL	74	47	10	704.9	7049
2024-11-25T11:03:56.636831	2024112501000138	8065	CYCL	62	8	21	1771	37191
2024-11-25T11:03:58.386067	2024112501000139	348	CZBIL	42	32	10	225.6	2256
2024-11-25T11:04:00.396739	2024112501000140	8066	RFPL	62	59	10	800.2	8002
2024-11-25T11:04:01.447631	2024112501000141	9201	SNLI	41	58	12	620	7440
2024-11-25T11:04:01.660947	2024112501000142	8065	CYCL	62	57	10	1774	17740
2024-11-25T11:04:03.046165	2024112501000143	517	NBL	17	52	100	280	28000
2024-11-25T11:04:03.356474	2024112501000144	8025	SPC	50	56	10	529.1	5291
2024-11-25T11:04:04.783348	2024112501000145	9171	BEDC	14	43	10	550	5500
2024-11-25T11:04:04.78351	2024112501000146	9171	BEDC	14	42	10	550	5500
2024-11-25T11:04:05.005367	2024112501000147	9167	MKHL	28	11	150	598.9	89835
2024-11-25T11:04:05.005475	2024112501000148	9167	MKHL	28	4	50	599	29950
2024-11-25T11:04:05.642794	2024112501000149	9196	KBSH	39	70	10	2473	24730
2024-11-25T11:04:06.561572	2024112501000150	9158	MHCL	57	39	100	440.9	44090
2024-11-25T11:04:06.561626	2024112501000151	9158	MHCL	57	56	180	441	79380
2024-11-25T11:04:07.814486	2024112501000152	9203	MEHL	55	16	10	419	4190
2024-11-25T11:04:07.814601	2024112501000153	9203	MEHL	55	64	10	423.4	4234
2024-11-25T11:04:07.814674	2024112501000154	9203	MEHL	55	39	10	423.4	4234
2024-11-25T11:04:09.461321	2024112501000155	9194	TSHL	32	48	60	1028	61680
2024-11-25T11:04:10.158402	2024112501000156	9208	ULHC	58	41	10	436	4360
2024-11-25T11:04:10.196688	2024112501000157	135	SBI	93	21	10	464.9	4649
2024-11-25T11:04:11.110166	2024112501000158	9194	TSHL	32	64	10	1002.4	10024
2024-11-25T11:04:14.043365	2024112501000159	9194	TSHL	32	28	10	1002.4	10024
2024-11-25T11:04:17.209442	2024112501000160	341	GBIME	41	41	13	240	3120
2024-11-25T11:04:17.861526	2024112501000161	238	NMB	55	14	20	255	5100
2024-11-25T11:04:19.71007	2024112501000162	8065	CYCL	37	62	10	1702	17020
2024-11-25T11:04:21.685266	2024112501000163	9181	RAWA	52	57	10	771.2	7712
2024-11-25T11:04:21.743923	2024112501000164	9198	LVF2	5	58	100	9.15	915
2024-11-25T11:04:21.846204	2024112501000165	171	SANIMA	56	48	100	313	31300
2024-11-25T11:04:23.869336	2024112501000166	9171	BEDC	14	43	80	560	44800
2024-11-25T11:04:25.791211	2024112501000167	9149	MKHC	58	36	100	418.9	41890
2024-11-25T11:04:25.791262	2024112501000168	9149	MKHC	58	70	240	418.9	100536
2024-11-25T11:04:26.058627	2024112501000169	517	NBL	17	83	985	280	275800
2024-11-25T11:04:34.922059	2024112501000170	142	KBL	89	58	500	220	110000
2024-11-25T11:04:38.090924	2024112501000171	9173	CITY	26	45	10	900	9000
2024-11-25T11:04:38.371394	2024112501000172	9232	CKHL	38	8	10	700	7000
2024-11-25T11:04:40.272824	2024112501000173	142	KBL	93	58	10	220	2200
2024-11-25T11:04:42.487293	2024112501000174	9203	MEHL	55	45	10	431	4310
2024-11-25T11:04:43.627314	2024112501000175	9171	BEDC	6	32	10	543	5430
2024-11-25T11:04:44.805853	2024112501000176	8025	SPC	65	56	10	530.7	5307
2024-11-25T11:04:47.407383	2024112501000177	8065	CYCL	34	8	13	1702.1	22127.3
2024-11-25T11:04:48.150458	2024112501000178	134	HBL	26	19	78	252	19656
2024-11-25T11:04:48.189429	2024112501000179	8025	SPC	65	58	100	530.7	53070
2024-11-25T11:04:49.571121	2024112501000180	213	BNT	41	38	12	14229	170748
2024-11-25T11:04:49.571162	2024112501000181	213	BNT	41	28	10	14229	142290
2024-11-25T11:04:50.211916	2024112501000182	9232	CKHL	38	99	90	700	63000
2024-11-25T11:04:52.116222	2024112501000183	8025	SPC	65	13	90	530.7	47763
2024-11-25T11:04:52.11629	2024112501000184	8025	SPC	58	13	160	530	84800
2024-11-25T11:04:56.8587	2024112501000185	9194	TSHL	65	62	60	1002.5	60150
2024-11-25T11:04:58.044628	2024112501000186	171	SANIMA	43	48	100	313	31300
2024-11-25T11:04:58.04471	2024112501000187	171	SANIMA	43	42	35	314	10990
2024-11-25T11:04:59.708677	2024112501000188	8099	UHEWA	52	32	10	654.8	6548
2024-11-25T11:05:03.963581	2024112501000189	255	PRVU	45	45	100	235.9	23590
2024-11-25T11:05:07.743304	2024112501000190	9135	BHPL	22	32	10	756	7560
2024-11-25T11:05:08.069366	2024112501000191	8111	HIDCLP	50	55	400	176	70400
2024-11-25T11:05:10.692231	2024112501000192	142	KBL	42	35	70	219	15330
2024-11-25T11:05:14.125421	2024112501000193	8026	NYADI	43	42	10	342	3420
2024-11-25T11:05:14.12553	2024112501000194	8026	NYADI	43	57	40	343.1	13724
2024-11-25T11:05:14.125602	2024112501000195	8026	NYADI	43	91	50	343.2	17160
2024-11-25T11:05:15.169909	2024112501000196	8099	UHEWA	52	58	10	654.8	6548
2024-11-25T11:05:16.482817	2024112501000197	9167	MKHL	10	4	80	599	47920
2024-11-25T11:05:18.654994	2024112501000198	8045	GVL	58	8	10	550	5500
2024-11-25T11:05:19.064954	2024112501000199	139	NICA	37	39	85	429	36465
2024-11-25T11:05:22.634016	2024112501000200	142	KBL	101	35	430	219	94170
2024-11-25T11:05:23.101465	2024112501000201	8025	SPC	57	13	40	530	21200
2024-11-25T11:05:23.702665	2024112501000202	9203	MEHL	58	55	10	419.1	4191
2024-11-25T11:05:23.702724	2024112501000203	9203	MEHL	3	55	10	415.1	4151
2024-11-25T11:05:26.07543	2024112501000204	131	NABIL	49	1	17	550.2	9353.4
2024-11-25T11:05:27.721313	2024112501000205	9158	MHCL	6	55	10	421	4210
2024-11-25T11:05:30.916421	2024112501000206	238	NMB	41	14	200	255	51000
2024-11-25T11:05:33.221729	2024112501000207	8005	MKJC	59	4	17	520	8840
2024-11-25T11:05:35.729967	2024112501000208	9176	IHL	21	8	10	591	5910
2024-11-25T11:05:38.11103	2024112501000209	132	NIMB	48	1	10	227	2270
2024-11-25T11:05:38.450536	2024112501000210	341	GBIME	35	28	10	239	2390
2024-11-25T11:05:38.45074	2024112501000211	341	GBIME	64	28	104	238	24752
2024-11-25T11:05:38.871328	2024112501000212	8117	AVYAN	38	71	10	1119	11190
2024-11-25T11:05:38.871447	2024112501000213	8117	AVYAN	38	4	190	1120	212800
2024-11-25T11:05:41.196919	2024112501000214	8066	RFPL	62	48	10	802.3	8023
2024-11-25T11:05:44.275147	2024112501000215	8025	SPC	57	13	100	530	53000
2024-11-25T11:05:48.270334	2024112501000216	142	KBL	56	14	500	219	109500
2024-11-25T11:05:48.658767	2024112501000217	348	CZBIL	42	11	190	226	42940
2024-11-25T11:05:49.356868	2024112501000218	8117	AVYAN	45	4	10	1120	11200
2024-11-25T11:05:50.794413	2024112501000219	9212	MANDU	49	8	10	970	9700
2024-11-25T11:05:51.02519	2024112501000220	9201	SNLI	34	58	2	610.6	1221.2
2024-11-25T11:05:52.063682	2024112501000221	8066	RFPL	62	8	500	804.1	402050
2024-11-25T11:05:52.823855	2024112501000222	8066	RFPL	62	58	10	802.3	8023
2024-11-25T11:05:53.041784	2024112501000223	9156	TAMOR	34	35	10	506.3	5063
2024-11-25T11:05:58.030842	2024112501000224	9147	SPL	88	38	100	952.6	95260
2024-11-25T11:05:58.816849	2024112501000225	9203	MEHL	49	8	10	415.2	4152
2024-11-25T11:05:59.446622	2024112501000226	139	NICA	45	39	10	429	4290
2024-11-25T11:06:00.123489	2024112501000227	8045	GVL	58	34	10	550	5500
2024-11-25T11:06:00.152755	2024112501000228	8099	UHEWA	52	41	10	654.8	6548
2024-11-25T11:06:02.173677	2024112501000229	219	UNL	38	77	20	47000	940000
2024-11-25T11:06:10.603521	2024112501000230	131	NABIL	49	52	163	550.2	89682.6
2024-11-25T11:06:10.603672	2024112501000231	131	NABIL	34	52	137	550.1	75363.7
2024-11-25T11:06:10.888086	2024112501000232	9167	MKHL	71	8	10	593.3	5933
2024-11-25T11:06:12.878661	2024112501000233	131	NABIL	16	51	17	550.3	9355.1
2024-11-25T11:06:25.894119	2024112501000234	139	NICA	42	1	27	429	11583
2024-11-25T11:06:25.894317	2024112501000235	139	NICA	42	49	73	429	31317
2024-11-25T11:06:33.522923	2024112501000236	8111	HIDCLP	14	55	80	176	14080
2024-11-25T11:06:33.523096	2024112501000237	8111	HIDCLP	14	80	20	176	3520
2024-11-25T11:06:34.310605	2024112501000238	9167	MKHL	35	49	50	594	29700
2024-11-25T11:06:34.313188	2024112501000239	8066	RFPL	62	49	10	802.3	8023
2024-11-25T11:06:38.927299	2024112501000240	9149	MKHC	58	58	10	415	4150
2024-11-25T11:06:41.069046	2024112501000241	132	NIMB	48	8	75	227	17025
2024-11-25T11:06:41.359545	2024112501000242	9147	SPL	88	21	10	952.6	9526
2024-11-25T11:06:44.980116	2024112501000243	4951	JBLB	42	19	10	1670	16700
2024-11-25T11:06:44.980178	2024112501000244	4951	JBLB	32	19	25	1670	41750
2024-11-25T11:06:47.394377	2024112501000245	9167	MKHL	81	49	130	593.5	77155
2024-11-25T11:06:49.449973	2024112501000246	131	NABIL	16	1	30	550.3	16509
2024-11-25T11:06:50.686934	2024112501000247	8099	UHEWA	52	34	10	654.8	6548
2024-11-25T11:06:51.299994	2024112501000248	134	HBL	45	62	50	251.9	12595
2024-11-25T11:06:53.028852	2024112501000249	9158	MHCL	17	21	10	438.9	4389
2024-11-25T11:06:57.4138	2024112501000250	9178	RMF2	32	21	100	9.6	960
2024-11-25T11:06:57.454591	2024112501000251	255	PRVU	41	48	87	234	20358
2024-11-25T11:06:57.454708	2024112501000252	255	PRVU	50	48	513	233.5	119785.5
2024-11-25T11:07:02.325375	2024112501000253	9242	SARBTM	42	6	10	760	7600
2024-11-25T11:07:04.545627	2024112501000254	140	MBL	39	4	170	259.7	44149
2024-11-25T11:07:04.581933	2024112501000255	141	LSL	22	58	100	248	24800
2024-11-25T11:07:05.331183	2024112501000256	9171	BEDC	82	58	10	544	5440
2024-11-25T11:07:05.33962	2024112501000257	9192	USHL	6	42	10	817.5	8175
2024-11-25T11:07:05.907391	2024112501000258	8108	RHGCL	65	45	500	445.1	222550
2024-11-25T11:07:05.907557	2024112501000259	8108	RHGCL	34	45	105	445	46725
2024-11-25T11:07:07.296764	2024112501000260	8100	SGHC	67	8	10	428	4280
2024-11-25T11:07:12.881068	2024112501000261	142	KBL	52	28	25	218.1	5452.5
2024-11-25T11:07:12.881259	2024112501000262	142	KBL	56	28	86	218.1	18756.6
2024-11-25T11:07:13.333108	2024112501000263	9201	SNLI	56	8	12	613	7356
2024-11-25T11:07:16.704897	2024112501000264	142	KBL	49	58	290	220	63800
2024-11-25T11:07:16.705002	2024112501000265	142	KBL	49	39	150	220	33000
2024-11-25T11:07:16.705083	2024112501000266	142	KBL	49	52	10	220	2200
2024-11-25T11:07:18.982173	2024112501000267	8108	RHGCL	45	62	10	447	4470
2024-11-25T11:07:18.982236	2024112501000268	8108	RHGCL	45	19	10	450	4500
2024-11-25T11:07:19.892854	2024112501000269	9201	SNLI	34	49	2	610.9	1221.8
2024-11-25T11:07:24.163944	2024112501000270	348	CZBIL	48	17	11	225.8	2483.8
2024-11-25T11:07:26.488378	2024112501000271	9214	BGWT	48	21	15	982	14730
2024-11-25T11:07:27.438997	2024112501000272	9156	TAMOR	34	8	10	506.3	5063
2024-11-25T11:07:28.482115	2024112501000273	139	NICA	34	81	50	427	21350
2024-11-25T11:07:28.482208	2024112501000274	139	NICA	16	81	100	425.4	42540
2024-11-25T11:07:28.482269	2024112501000275	139	NICA	45	81	50	425.3	21265
2024-11-25T11:07:28.482314	2024112501000276	139	NICA	58	81	100	425.2	42520
2024-11-25T11:07:28.482357	2024112501000277	139	NICA	33	81	5000	425.2	2126000
2024-11-25T11:07:29.677324	2024112501000278	9161	ANLB	34	39	10	4861	48610
2024-11-25T11:07:29.677387	2024112501000279	9161	ANLB	33	39	10	4860	48600
2024-11-25T11:07:29.677413	2024112501000280	9161	ANLB	35	39	50	4852	242600
2024-11-25T11:07:29.677431	2024112501000281	9161	ANLB	62	39	1000	4851	4851000
2024-11-25T11:07:29.677451	2024112501000282	9161	ANLB	34	39	10	4851	48510
2024-11-25T11:07:29.677469	2024112501000283	9161	ANLB	62	39	1000	4851	4851000
2024-11-25T11:07:29.677488	2024112501000284	9161	ANLB	62	39	200	4851	970200
2024-11-25T11:07:29.677524	2024112501000285	9161	ANLB	62	39	300	4851	1455300
2024-11-25T11:07:29.677547	2024112501000286	9161	ANLB	62	39	200	4851	970200
2024-11-25T11:07:29.677566	2024112501000287	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.677584	2024112501000288	9161	ANLB	62	39	200	4851	970200
2024-11-25T11:07:29.677602	2024112501000289	9161	ANLB	62	39	300	4851	1455300
2024-11-25T11:07:29.677621	2024112501000290	9161	ANLB	62	39	400	4851	1940400
2024-11-25T11:07:29.677638	2024112501000291	9161	ANLB	62	39	200	4851	970200
2024-11-25T11:07:29.677654	2024112501000292	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.677672	2024112501000293	9161	ANLB	62	39	200	4851	970200
2024-11-25T11:07:29.677689	2024112501000294	9161	ANLB	62	39	200	4851	970200
2024-11-25T11:07:29.677708	2024112501000295	9161	ANLB	62	39	60	4851	291060
2024-11-25T11:07:29.677724	2024112501000296	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.67774	2024112501000297	9161	ANLB	62	39	80	4851	388080
2024-11-25T11:07:29.677757	2024112501000298	9161	ANLB	62	39	200	4851	970200
2024-11-25T11:07:29.677775	2024112501000299	9161	ANLB	62	39	200	4851	970200
2024-11-25T11:07:29.677793	2024112501000300	9161	ANLB	62	39	150	4851	727650
2024-11-25T11:07:29.677809	2024112501000301	9161	ANLB	62	39	400	4851	1940400
2024-11-25T11:07:29.677826	2024112501000302	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.677842	2024112501000303	9161	ANLB	62	39	1000	4851	4851000
2024-11-25T11:07:29.677858	2024112501000304	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.677915	2024112501000305	9161	ANLB	62	39	400	4851	1940400
2024-11-25T11:07:29.677932	2024112501000306	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.67795	2024112501000307	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.677967	2024112501000308	9161	ANLB	62	39	400	4851	1940400
2024-11-25T11:07:29.67803	2024112501000309	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.67805	2024112501000310	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.678066	2024112501000311	9161	ANLB	62	39	1000	4851	4851000
2024-11-25T11:07:29.678083	2024112501000312	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.6781	2024112501000313	9161	ANLB	62	39	100	4851	485100
2024-11-25T11:07:29.67812	2024112501000314	9161	ANLB	62	39	95	4851	460845
2024-11-25T11:07:34.069515	2024112501000315	8099	UHEWA	52	56	50	654.8	32740
2024-11-25T11:07:38.663171	2024112501000316	9192	USHL	6	25	10	833.8	8338
2024-11-25T11:07:38.703455	2024112501000317	133	SCB	6	6	12	764	9168
2024-11-25T11:07:41.932938	2024112501000318	238	NMB	65	58	1000	254.8	254800
2024-11-25T11:07:41.992618	2024112501000319	9194	TSHL	28	34	50	1010	50500
2024-11-25T11:07:41.992667	2024112501000320	9194	TSHL	28	11	10	1021	10210
2024-11-25T11:07:41.992688	2024112501000321	9194	TSHL	28	49	50	1021	51050
2024-11-25T11:07:41.992715	2024112501000322	9194	TSHL	28	49	50	1022	51100
2024-11-25T11:07:41.992739	2024112501000323	9194	TSHL	28	45	55	1022	56210
2024-11-25T11:07:41.992764	2024112501000324	9194	TSHL	28	41	200	1022.5	204500
2024-11-25T11:07:41.99279	2024112501000325	9194	TSHL	28	55	1160	1022.5	1186100
